Entity,Range_Ano_Cnt,Point_Ano_Cnt,Anomaly_Rate
1,4,0,0.023065476190476192
2,6,0,0.036458333333333336
3,6,0,0.03720238095238095
4,5,0,0.027529761904761904
5,3,0,0.015625
6,6,0,0.03050595238095238
7,5,0,0.029017857142857144
8,3,0,0.01636904761904762
9,2,0,0.008928571428571428
10,7,0,0.04017857142857143
11,5,0,0.02976190476190476
12,5,0,0.03050595238095238
13,8,0,0.046130952380952384
14,8,0,0.04241071428571429
15,4,0,0.021577380952380952
16,3,0,0.020089285714285716
17,2,0,0.011160714285714286
18,2,0,0.011904761904761904
19,7,0,0.03943452380952381
20,2,0,0.011904761904761904
21,9,0,0.04985119047619048
22,4,0,0.028273809523809524
23,5,0,0.02976190476190476
24,3,0,0.019345238095238096
25,5,0,0.028273809523809524
26,5,0,0.026785714285714284
27,3,0,0.017857142857142856
28,4,0,0.024553571428571428
29,0,0,0.0
30,6,0,0.03720238095238095
31,3,0,0.017857142857142856
32,4,0,0.023809523809523808
33,4,0,0.021577380952380952
34,3,0,0.015625
35,3,0,0.01636904761904762
36,3,0,0.019345238095238096
37,8,0,0.041666666666666664
38,6,0,0.031994047619047616
39,4,0,0.020833333333333332
40,4,0,0.021577380952380952
41,4,0,0.022321428571428572
42,4,0,0.022321428571428572
43,6,0,0.03273809523809524
44,6,0,0.033482142857142856
45,4,0,0.026785714285714284
46,4,0,0.022321428571428572
47,4,0,0.027529761904761904
48,2,0,0.011160714285714286
49,2,0,0.010416666666666666
50,4,0,0.020089285714285716
51,6,0,0.03273809523809524
52,1,0,0.005208333333333333
53,5,0,0.026785714285714284
54,2,0,0.010416666666666666
55,8,0,0.046130952380952384
56,3,0,0.01636904761904762
57,3,0,0.015625
58,5,0,0.03125
59,4,0,0.024553571428571428
60,4,0,0.022321428571428572
61,3,0,0.01636904761904762
62,2,0,0.011160714285714286
63,6,0,0.041666666666666664
64,2,0,0.009672619047619048
65,5,0,0.028273809523809524
66,4,0,0.021577380952380952
67,5,0,0.027529761904761904
68,3,0,0.018601190476190476
69,4,0,0.023809523809523808
70,6,0,0.03571428571428571
71,5,0,0.02976190476190476
72,8,0,0.041666666666666664
73,8,0,0.046875
74,8,0,0.04389880952380952
75,4,0,0.021577380952380952
76,10,0,0.057291666666666664
77,4,0,0.022321428571428572
78,6,0,0.03273809523809524
79,5,0,0.027529761904761904
80,5,0,0.026041666666666668
81,2,0,0.011904761904761904
82,0,0,0.0
83,4,0,0.029017857142857144
84,3,0,0.01711309523809524
85,3,0,0.01488095238095238
86,3,0,0.018601190476190476
